0,1.7826086956521738
0014,2.0
00429,3.0
01,3.2
0146,4.0
0148,4.0
0167,3.0
020,4.0
025,5.0
0338,5.0
0339,5.0
0343,5.0
038,2.0
0381,1.0
0459,5.0
05,2.6666666666666665
050,3.0
060,3.5
0606,4.0
079,5.0
080,2.0
0831,4.0
0835,5.0
0838,4.0
0845,5.0
0903,4.0
0905,5.0
0913,4.0
1,3.3042452830188678
10,3.321904761904762
100,3.28
1000,3.3333333333333335
10000,3.8
100000,2.75
1000000,4.0
1000p,4.0
1000pm,4.0
1000x,3.0
100a,4.0
100m,2.0
100night,4.0
100person,2.0
100pm,4.0
100s,2.5
100th,4.0
100x,3.0
101,3.789473684210526
1010,5.0
1012,3.2222222222222223
101215,1.0
1013,5.0
1014,3.0
1015,3.176470588235294
1015am,1.0
1015min,4.0
1015pm,3.0
1019am,1.0
102,5.0
1020,4.0
1020minutes,3.0
1024,1.0
1025,4.0
1027am,1.0
1030,3.25
1030pm,3.111111111111111
1035am,1.0
104,4.0
1045,5.0
104511,4.0
1045am,4.0
1045pm,1.0
1047pm,1.0
105,4.2
1050,3.4285714285714284
10514,1.0
1052,1.0
105am,5.0
105ime,4.0
107,4.0
1075,3.5
1079,3.0
108,1.0
109,4.666666666666667
1095,3.7777777777777777
1099,3.5
10a,5.0
10am,2.125
10ea,2.0
10et,4.0
10h,3.0
10in,4.0
10ish,4.0
10k,1.0
10lb,3.0
10min,3.0
10months,5.0
10my,4.0
10oz,2.0
10pm,3.9130434782608696
10pm12am,5.0
10pop,5.0
10tax,3.0
10th,2.8333333333333335
10what,3.0
10which,5.0
10x,3.2
11,3.515625
110,4.0
1100,2.0
1100a,5.0
1100month,4.0
1100pm,3.5
1102,4.0
1105,1.0
111,4.333333333333333
1110,4.5
111130,3.0
1112,4.5
1113,4.0
1115,4.0
111am,5.0
112,4.666666666666667
11213,1.0
1125,1.0
1125single,3.0
1130,4.142857142857143
1130am,3.75
1130pm,4.0
113pm,4.0
114,4.0
11417,4.0
1145,3.5
1145am,4.0
115,4.0
1150,3.6
1150am,4.0
115pm,5.0
1172015,5.0
11815,4.0
119,4.0
1195,3.857142857142857
1199,4.0
119night,3.0
11am,3.6923076923076925
11h,4.0
11h30minuit,5.0
11h45,4.0
11mais,4.0
11oz,5.0
11pm,3.5
11pm1am,2.0
11s,3.0
11th12th,4.0
11years,2.0
12,3.5789473684210527
120,2.8
1200,3.8
120min,5.0
120that,4.0
121,4.0
1215,3.2
1216,3.6666666666666665
121715,4.0
1218,3.0
122,3.0
1223,1.0
1224,5.0
1225,3.0
1226,1.0
1227,1.0
1229,4.0
1230,3.0833333333333335
1230pm,5.0
1232017,5.0
1245,1.0
1249,3.0
125,3.2857142857142856
1250,2.0
125000,1.0
125150,3.0
125night,2.0
125nt,3.0
1270,4.0
1285,3.0
12907,4.0
1295,3.0
1299,3.0
12after,3.0
12am,2.5
12course,5.0
12courses,5.0
12hr,5.0
12in,5.0
12km,4.0
12oz,3.0
12pack,4.0
12pm,2.8
12th,3.0
12x7,2.0
13,3.68
130,4.0
1300,2.0
13001500,5.0
130pm,2.75
130th,5.0
131,3.25
13208923874820983534,2.0
1325,2.0
134,4.0
134night,4.0
135,4.5
1350,4.0
139,3.0
1395,3.75
1399,2.0
13pm,4.0
13th,3.0
14,3.537313432835821
140,3.5
1400,2.0
140160,2.0
1416,3.0
1445,4.0
1452,3.0
145pm,4.0
1462541,4.0
147,1.0
1480,4.5
149,4.5
1495,4.666666666666667
1499,2.6666666666666665
14angostura,1.0
14h,4.0
14lb,4.0
14per,4.0
14th,5.0
15,2.9966101694915253
150,3.1702127659574466
1500,2.0
15000,1.0
1502,4.0
150nightso,1.0
150something,5.0
1511,2.75
152,3.0
1520,2.6666666666666665
1520minutes,3.0
152x,2.0
153,1.0
1530,2.5
155,1.0
1550,2.0
159,3.0
1595,3.0
1599,1.0
15h,5.0
15k,4.0
15meal,2.0
15mins,2.5
15month,4.0
15roasted,1.0
16,3.5625
160,4.0
1618,5.0
1618lbs,2.0
1645,5.0
165,3.5
1650,3.0
168,4.0
1695,2.6666666666666665
16goat,1.0
16halloumi,1.0
16i,3.0
16lbs,5.0
16oz,4.0
16person,2.0
16th,3.5
16year,2.0
17,2.857142857142857
170,5.0
1700,3.0
170000,3.5
1720,4.0
174,3.0
175,3.6363636363636362
1750,5.0
176,1.0
179,3.0
1799,5.0
17h15,1.0
17h55,1.0
17in,4.0
17ish,4.0
17lb,4.0
17pm,4.0
17th,3.5
18,2.960526315789474
180,4.181818181818182
1800,2.25
18000,1.0
1800s,4.333333333333333
1813,4.0
1820,2.0
185,1.0
1850,3.0
187,1.0
188,5.0
1889,4.0
189,3.0
1895,2.7142857142857144
18amazing,5.0
18h,4.0
18i,2.0
18mo,4.0
18oz,5.0
18per,4.0
18person,2.0
18th,4.0
18x24,4.0
18year,4.0
19,3.52
190,3.75
1900,2.5
19000,5.0
1900s,3.0
1920,3.0
1929,4.0
1932,5.0
1936,4.0
195,3.5
1950,4.0
1950s,3.0
1951,5.0
19599,4.0
1960s,4.0
1967,4.0
1976,2.0
1977people,3.0
198,4.5
1980,3.0
1982,3.0
1984,5.0
1986,1.0
1989,1.0
199,3.125
1992,3.0
1992have,5.0
1994,5.0
1997,5.0
1999,3.4285714285714284
19h,4.0
19h30,1.5
19hrs,4.0
19th,1.5
1a,5.0
1am,3.625
1bdr,4.0
1but,4.0
1h,4.0
1h30,4.0
1h30min,3.0
1inch,2.0
1k,3.5
1lb,5.0
1meter,5.0
1oz,5.0
1p,5.0
1person,4.0
1pm,2.4615384615384617
1s,3.0
1spoken,1.0
1st,3.4074074074074074
1star,1.0
1x,5.0
1year,5.0
2,3.4246435845213847
20,3.1265822784810124
200,3.391304347826087
2000,2.3333333333333335
20000,1.6666666666666667
2000s,2.0
2001,4.0
2004,4.5
2005,4.0
200500,3.0
2006,2.0
2007,4.0
2008,2.5
2008ish,5.0
2009,2.4285714285714284
20092010,4.0
200night,3.0
200pm,4.0
201,4.0
2010,2.7777777777777777
2011,4.5
2012,3.75
2013,3.8
2014,4.0
2015,4.071428571428571
2016,2.95
2016cest,3.0
2017,2.7777777777777777
2017je,1.0
2018,4.0
202,4.333333333333333
2020,2.0
2023,1.0
2025,4.666666666666667
2030,4.2
2030s,4.0
2040,2.0
20bringing,4.0
20h,4.0
20min,3.0
20mins,3.0
20minute,3.0
20oz,3.3333333333333335
20s,3.5
20s40s,4.0
20so,2.0
20something,1.0
20somethings,2.0
20th,1.5
20tx,4.0
20x,5.0
21,3.6818181818181817
210,3.3333333333333335
21115,5.0
212,1.0
2129,3.0
2130,2.0
2135,3.0
215,3.6
21515,3.0
2195,3.0
21h,3.5
21person,3.0
21st,3.0
22,3.4166666666666665
2200,3.0
220pm,4.0
221,5.0
222each,3.0
223,5.0
22415,3.0
225,3.6666666666666665
2250,3.0
22500,1.0
22515,2.0
2255,2.0
2260person,1.0
2265,3.0
2282015,2.0
229,4.0
2295,4.0
2299,4.0
22h30,3.0
22oz,4.0
22person,5.0
22wtfplease,2.0
23,3.4651162790697674
230,1.5
230am,4.0
230pm,2.0
23h50,1.0
23rd,4.0
24,3.671232876712329
2400,1.0
241,3.0
243,4.0
2430,1.0
245,1.3333333333333333
247,4.291666666666667
249,3.0
2495,3.75
2499,4.0
24h,4.0
24hour,5.0
24hours,5.0
24hr,3.3333333333333335
24hrs,4.75
24th,3.1666666666666665
24x7,2.0
25,3.1140350877192984
250,3.4347826086956523
2500,2.0
25000,5.0
250crazy,1.0
2530,2.75
255,2.1666666666666665
2550,3.0
25th,3.75
25yard,5.0
26,3.391304347826087
260,2.6666666666666665
2600,2.0
262,4.5
269,4.0
26g,4.0
26oz,4.0
26pm,4.0
27,2.3636363636363638
27000,5.0
2715,1.0
274,5.0
275,3.857142857142857
275cookie,2.0
28,3.0
280,4.0
28miles,5.0
28th,3.0
29,3.7
290,2.0
290was,2.0
295,4.666666666666667
2967,2.0
299,3.3
2995,2.6666666666666665
29999,1.0
299nope,3.0
29th,5.0
2alors,3.0
2am,3.375
2asked,1.0
2car,4.0
2ea,4.0
2families,2.0
2h,2.0
2h30,4.0
2hrs,5.0
2lb,4.666666666666667
2mo,2.0
2nd,3.1666666666666665
2ne1,4.0
2pas,3.0
2person,4.0
2piece,4.0
2player,4.0
2pm,3.1333333333333333
2rolls,5.0
2shirt,5.0
2star,3.0
2tiered,5.0
2top,3.0
2x,3.6666666666666665
3,3.3333333333333335
30,2.9306122448979592
300,3.076923076923077
3000,1.8571428571428572
30000,4.25
300th,4.0
301,5.0
302,4.0
3035,3.0
3040,5.0
3040min,5.0
3045,2.25
306709,3.0
3075,3.0
30bottle,4.0
30days,5.0
30k,5.0
30min,2.3333333333333335
30mins,2.0
30person,3.0
30s,4.2
30s60s,4.0
30something,2.0
30th,3.5
31,3.857142857142857
310,4.0
3100,5.0
311,5.0
312,2.875
315am,2.0
31st,3.0
32,2.5
3200,1.0
32125,1.0
324,3.0
325,3.375
32nd,5.0
32oz,4.0
33,3.125
330,3.4
330430,1.0
330am,4.5
330p,5.0
330pm,4.0
3315,4.5
335,2.0
33person,4.0
33rd,5.0
34,3.2941176470588234
340,5.0
34000,1.0
340e,4.0
340pm,1.0
3417,2.0
345,1.5
349,2.0
35,3.24
350,3.176470588235294
3500,3.0
350z,5.0
3535,4.0
3540,3.0
3540min,5.0
355,3.2142857142857144
359,2.0
35min,1.0
35th,4.0
36,4.4
360,2.25
3635,5.0
369,4.0
36pm,4.0
37,3.0
3700,3.0
375,2.8333333333333335
376,1.0
37ish,4.0
37pm,3.5
37th,3.0
38,2.3333333333333335
387,1.0
389,4.0
39,3.0
391,3.0
395,3.4444444444444446
3950,3.0
399,3.4545454545454546
3995,3.0
3999,3.0
399lb,3.0
3am,3.25
3b,3.0
3course,4.2
